unix,low,high,open,close,volume,date
1510272000,6426,7350,7156,6577.62,34072.9324,11/10/17
1510358400,6201.01,6894.99,6577.63,6346.7,25651.29408,11/11/17
1510444800,5511.11,6486,6346.64,5886.35,52487.43253,11/12/17
1510531200,5850,6841.45,5886.35,6535.87,36435.45628,11/13/17
1510617600,6450,6748,6535.87,6605,20256.43299,11/14/17
1510704000,6605,7349,6605,7294,27878.7763,11/15/17
1510790400,7130,7985.37,7294,7838.53,29352.77615,11/16/17
1510876800,7536,7988.5,7838.54,7714.71,25045.653,11/17/17
1510963200,7502,7847.98,7714.7,7777.01,14707.53684,11/18/17
1511049600,7700,8098.62,7777.01,8031.82,14765.96964,11/19/17
1511136000,7969,8293.25,8031.83,8256.01,15693.26061,11/20/17
1511222400,7802.99,8375,8256.01,8109,31256.26199,11/21/17
1511308800,8103.13,8298.98,8109,8250,13690.83176,11/22/17
1511395200,8031.16,8274.98,8250,8031.16,11919.9167,11/23/17
1511481600,7900,8324,8031.16,8215.01,14748.71324,11/24/17
1511568000,8203.98,8795.5,8215.01,8795.5,16482.32786,11/25/17
1511654400,8795.5,9596,8795.5,9401.11,28641.69759,11/26/17
1511740800,9401,9795,9401.11,9768.71,25683.32625,11/27/17
1511827200,9705.99,9989.95,9768.71,9949,18960.42674,11/28/17
1511913600,8595.55,11485,9949,9935.98,70224.99702,11/29/17
1512000000,9135.6,10850,9920.81,9903,42536.31364,11/30/17
1512086400,9517,10937,9903.01,10869.84,33257.57367,12/1/17
1512172800,10701,11100,10869.85,10930.24,20197.0181,12/2/17
1512259200,10601,11891,10930.24,11290,31415.80538,12/3/17
1512345600,10950,11650,11290,11643.98,20180.88653,12/4/17
1512432000,11532,11875,11643.99,11718.35,17711.49076,12/5/17
1512518400,11717.5,14425,11718.34,14090,51358.74593,12/6/17
1512604800,13500,19697,14090,17390.01,84528.10237,12/7/17
1512691200,13788.99,17777.69,17390.01,16367.03,68522.70363,12/8/17
1512777600,13550,16499,16367.03,15309.98,41170.50759,12/9/17
1512864000,13501,16300,15309.99,15290.01,52882.81595,12/10/17
1512950400,15200,17493,15290.01,16885.76,41169.69239,12/11/17
1513036800,16375,18149.99,16885.76,17730.12,38219.4074,12/12/17
1513123200,15700,17900,17730.12,16689.61,31867.18169,12/13/17
1513209600,16256,17199.6,16689.62,16749.78,16329.87585,12/14/17
1513296000,16745,17899,16749.79,17738.67,28605.32753,12/15/17
1513382400,17630,19797,17738.68,19650.01,24853.68358,12/16/17
1513468800,19010,19891.99,19650.02,19378.99,21476.2351,12/17/17
1513555200,18200,19385,19378.99,19039.01,26385.52353,12/18/17
1513641600,16800,19099,19039.01,17838.73,32148.34752,12/19/17
1513728000,14001,17890,17838.73,16496.89,47992.44424,12/20/17
1513814400,15151,17364.57,16496.9,15758.8,28740.89368,12/21/17
1513900800,10400,15974.95,15758.8,14210.57,103039.9342,12/22/17
1513987200,13750,16261,14229.47,15075.89,30795.888,12/23/17
1514073600,13210,15109.27,15075.89,14221.94,24834.83362,12/24/17
1514160000,13450,14774,14221.93,14171.98,15425.35357,12/25/17
1514246400,14171.98,16148,14171.99,15790.88,22462.70562,12/26/17
1514332800,14524.37,16490,15790.88,15367.08,24957.62817,12/27/17
1514419200,13500,15489,15360.01,14450.01,31273.57825,12/28/17
1514505600,14041.81,15105.34,14450.01,14565.05,18476.05199,12/29/17
1514592000,12500,14639.79,14565.04,12839.99,28787.73764,12/30/17
1514678400,12633.8,14280.26,12839.98,13863.13,18604.28577,12/31/17
1514764800,12952.5,13889,13863.14,13480.01,12295.00654,1/1/18
1514851200,13005,15275,13480,14781.51,26387.93493,1/2/18
1514937600,14628,15400,14781.52,15098.14,17877.49529,1/3/18
1515024000,14230,15400,15098.23,15144.99,20010.43634,1/4/18
1515110400,14819.78,17178,15145,16960.01,22917.78067,1/5/18
1515196800,16251.01,17174,16960.01,17098.99,14104.21392,1/6/18
1515283200,15755.01,17115.01,17099,16174.22,12341.08085,1/7/18
1515369600,14000,16275,16174.22,14993.74,23151.96462,1/8/18
1515456000,14230,15384,14993.73,14480.99,15384.62465,1/9/18
1515542400,13550.01,14875.18,14481,14875.18,22664.54514,1/10/18
1515628800,12800.01,14970,14875.17,13308.06,28889.12131,1/11/18
1515715200,12900,14080.83,13308.06,13820,14816.77241,1/12/18
1515801600,13792.25,14500,13820,14187.95,10491.10485,1/13/18
1515888000,13110,14332.85,14187.94,13656.23,10783.39314,1/14/18
1515974400,13416,14253,13656.23,13590,10511.84043,1/15/18
1516060800,9928.62,13643.66,13590,11570.01,62207.83296,1/16/18
1516147200,9005,12358.89,11570.01,11200.01,63957.23279,1/17/18
1516233600,10687.21,12123.1,11204.64,11305.53,30134.64773,1/18/18
1516320000,11050,11973.99,11305.53,11498.99,15959.30876,1/19/18
1516406400,11498.99,12985.55,11499,12762.8,18749.95639,1/20/18
1516492800,11118,12762.8,12762.8,11518.17,16426.17777,1/21/18
1516579200,10025,11849,11518.17,10766.7,24352.57046,1/22/18
1516665600,9945,11370,10766.7,10824.94,21897.02947,1/23/18
1516752000,10450,11450,10824.95,11356.79,15159.74618,1/24/18
1516838400,10851,11690,11356.8,11118,13803.39949,1/25/18
1516924800,10305,11570,11118,11086.89,19343.28195,1/26/18
1517011200,10850,11494.08,11086.88,11319,12301.18732,1/27/18
1517097600,11234.38,11697.24,11319,11536,13684.87205,1/28/18
1517184000,10840,11570,11536,11123.01,11166.05985,1/29/18
1517270400,9711.11,11150,11123.01,9995,27589.87337,1/30/18
1517356800,9601.02,10299.95,9995,10099.99,19533.7381,1/31/18
1517443200,8400,10166.25,10099.99,9014.23,38171.97003,2/1/18
1517529600,7540,9090.08,9014.22,8787.52,52039.26808,2/2/18
1517616000,8115.48,9499,8787.52,9240,23700.98509,2/3/18
1517702400,7859,9350,9227.8,8167.91,24062.18196,2/4/18
1517788800,6425.75,8349.16,8167.9,6905.19,59578.69822,2/5/18
1517875200,5873,7948.89,6905.2,7688.46,91895.11063,2/6/18
1517961600,7212.82,8650,7688.47,7575.75,50916.5789,2/7/18
1518048000,7550,8625,7575.76,8218.1,31649.57659,2/8/18
1518134400,7750,8700,8218.07,8671.01,27558.51614,2/9/18
1518220800,8155,9090,8671,8547.49,24910.69249,2/10/18
1518307200,7851,8547.49,8547.48,8072.99,16804.11338,2/11/18
1518393600,8072.99,8950,8073,8872.28,19718.28617,2/12/18
1518480000,8393.1,8925,8872.27,8520.01,13952.55755,2/13/18
1518566400,8520,9482.5,8520.01,9472.98,24374.64431,2/14/18
1518652800,9342.46,10249.81,9472.98,10031.23,32372.7974,2/15/18
1518739200,9729.58,10307.68,10031.23,10167.49,17843.54691,2/16/18
1518825600,10057,11149,10167.49,11121.5,20781.56168,2/17/18
1518912000,10159,11299.1,11121.5,10380.04,26975.9358,2/18/18
1518998400,10297.39,11274.11,10380.03,11140,17634.43505,2/19/18
1519084800,11000,11775,11140,11235.57,28425.12095,2/20/18
1519171200,10250,11279.99,11235.57,10454.27,30042.03089,2/21/18
1519257600,9715.27,10900,10453.83,9830,28095.90851,2/22/18
1519344000,9576.43,10390.77,9830,10144.99,20779.94318,2/23/18
1519430400,9372.72,10494.14,10144.99,9688.62,19729.38571,2/24/18
1519516800,9324.75,9850,9688.61,9597.99,11707.16167,2/25/18
1519603200,9404,10447.74,9600,10300,19118.99382,2/26/18
1519689600,10133.33,10845.07,10300,10566.57,18240.52935,2/27/18
1519776000,10263,11044,10556.3,10307.27,19688.06956,2/28/18
1519862400,10213.99,11075,10307.26,10895.92,15390.55106,3/1/18
1519948800,10765,11149,10895.93,11000,13838.03908,3/2/18
1520035200,11000,11494.57,11000.01,11432.5,13198.55336,3/3/18
1520121600,11041,11487,11432.51,11469.9,8635.842471,3/4/18
1520208000,11339,11645.74,11469.9,11377.54,11051.44858,3/5/18
1520294400,10565.85,11395.63,11371.5,10700,18565.88803,3/6/18
1520380800,9400,10894,10700,9925,32486.56623,3/7/18
